number,contract_name,name,address,lat,lng,bike_stands,available_bike_stands,available_bikes,status,last_update,time_get
55,toulouse,00055 - ST SERNIN G. ARNOULT,2 RUE GATIEN ARNOULT,43.608951960496405,1.441003598726198,15,15,0,OPEN,1591615573.0,1591616069
195,toulouse,00195 - LARROUSSE -RIEUX,FACE 15 RUE PIERRE LAROUSSE,43.59723540303583,1.45907112459247,18,12,6,OPEN,1591615637.0,1591616069
29,toulouse,00029 - VALADE,31 RUE VALADE,43.605071904633625,1.437032051956223,19,10,9,OPEN,1591615859.0,1591616069
280,toulouse,280 - CHARBONNIERE,RUE DE LA CHARBONNIERE ANGLE RUE DES PALMIERS 31000 TOULOUSE,43.57383,1.44871,18,10,8,OPEN,1591615829.0,1591616069
156,toulouse,00156 - METRO EMPALOT,38 AV JEAN MOULIN FACE DEBOUCHE RUE DE CANNES,43.579737115748195,1.441783289134449,18,4,14,OPEN,1591615585.0,1591616069
242,toulouse,00242 -  RAIMBAUD / COLETTE,RUE RAIMBAUD ANGLE RUE COLETTE,43.633866178151905,1.437493796200118,16,3,13,OPEN,1591615448.0,1591616069
224,toulouse,00224 - CAMPUS SUPAERO,AVENUE EDOUARD BELIN FACE CHÂTEAU DU CREPS,43.566595761363736,1.474881961695726,20,7,13,OPEN,1591615888.0,1591616069
229,toulouse,00229 - IUT RANGUEIL,129 AV DE RANGUEIL,43.571433064051334,1.46278065695466,18,1,15,OPEN,1591615749.0,1591616069
154,toulouse,00154 - GALLOIS,RUE DES GALLOIS,43.58995890864312,1.4420311550308,20,14,6,OPEN,1591615450.0,1591616069
96,toulouse,00096 - MEDIATHEQUE,50 RUE DU GENERAL COMPANS,43.60974282737991,1.455204795385279,25,22,3,OPEN,1591615883.0,1591616069
65,toulouse,00065 - VERDIER - GRAND ROND,2 ALL FORAIN FRANCOIS VERDIER,43.597074846780274,1.452605307400692,27,15,12,OPEN,1591615596.0,1591616069
22,toulouse,00022 - CARNOT ROLAND,24 BD LAZARE CARNOT,43.60221990815785,1.45195665819857,20,16,4,OPEN,1591615811.0,1591616069
