nom,latitue,longitude,type
ESQUIROL - METZ,43.6004912928,1.44567266016,CARREFOUR STANDARD
LAFOURCADE - SAINT MICHEL,43.5928542909,1.44443255394,CARREFOUR STANDARD
LEFEBVRE-REYNERIE,43.5659134888,1.39607419395,CARREFOUR STANDARD
ARENES St JEAN - BALMA,43.6154479937,1.49353236801,CARREFOUR STANDARD
SAINT HONEST - MATABIAU,43.6150103981,1.44241014414,CARREFOUR PIETON
JOULIN - ESPAGNE,43.5502692017,1.42096341982,CARREFOUR PIETON
GUYENNE - LANGUEDOC,43.585843202,1.34022511002,CARREFOUR STANDARD
PONT DU BEARNAIS,43.6120837183,1.42530727223,CARREFOUR STANDARD
FER A CHEVAL,43.5928090527,1.43442740996,CARREFOUR STANDARD
WIESEL  - ROUTE DE TOULOUSE,43.5700488739,1.30830359157,CARREFOUR STANDARD
SABATIER - BOULINGRIN,43.5960293429,1.45392154054,CARREFOUR PIETON
MARC ARCIS - MINIMES,43.6234159215,1.43436524459,CARREFOUR STANDARD
EMILE MALE,43.5913234653,1.41900012789,CARREFOUR STANDARD
NUNGESSER & COLI - DEODAT,43.5905351716,1.42026974156,CARREFOUR STANDARD
MEDITERRANEE - MARINE,43.5821035882,1.46309891259,CARREFOUR STANDARD
ECOLE SAINTE BARBE - DUPORTAL,43.6061417855,1.43465979628,CARREFOUR PIETON
DAYDE - SUISSE,43.6150720435,1.42099795182,CARREFOUR STANDARD
MULE - DORVAL,43.5945852218,1.45692932262,CARREFOUR STANDARD
LYCEE TOULOUSE LAUTREC - CURIE,43.6252167747,1.44107212837,CARREFOUR STANDARD
TOURAINE - SEYSSES,43.5724640817,1.41843312826,CARREFOUR STANDARD
JUIN - LONGAUD,43.5884680603,1.43992110598,CARREFOUR STANDARD
MOLETTE - LARDENNE,43.5909771338,1.38372690413,CARREFOUR STANDARD
BANVILLE - ALBI,43.6405703862,1.46629730722,CARREFOUR STANDARD
ECOLE  AMIDONNIERS - BRIENNE,43.6097393284,1.42053400454,CARREFOUR PIETON
SAINTE AUGUSTINE - MICHOUN,43.6250231064,1.46537098338,CARREFOUR STANDARD
LECLERC - BARCELONE,43.6066788861,1.43047056879,CARREFOUR STANDARD
LUMIERE - CASSELARDIT,43.6099011356,1.4056587225,CARREFOUR STANDARD
PHOEBUS - MURET,43.5896326332,1.43204885923,CARREFOUR STANDARD
PN 7- DEODAT,43.5885185231,1.42339227207,CARREFOUR PIETON
PPS JAPON - DEMOISELLES,43.5888768131,1.45753008303,CARREFOUR PPS
TOULON - TASSIGNY,43.5813092332,1.43849518638,CARREFOUR STANDARD
MINT - FRONTON,43.6393419364,1.43338342581,CARREFOUR STANDARD
AUBISQUE - CASTRES,43.5974634548,1.48161694193,CARREFOUR STANDARD
VIOLET LE DUC - PASSERIEU,43.5802604805,1.39105622966,CARREFOUR STANDARD
TISSIE - LARDENNE,43.5932831729,1.3935737605,CARREFOUR STANDARD
COURSES - LARDENNE,43.5920971373,1.39955868142,CARREFOUR STANDARD
VITARELLES - LARDENNE,43.5920292599,1.39821757308,CARREFOUR STANDARD
CUVIER - ALBI,43.6365672091,1.46434673579,CARREFOUR PIETON
GARE ROUTIERE - SEMARD,43.6127564796,1.4522772026,CARREFOUR STANDARD
CONCORDE - PRINTEMPS,43.6133461551,1.44638612695,CARREFOUR STANDARD
CONCORDE - MATABIAU,43.6150467651,1.44787147772,CARREFOUR STANDARD
TROIS FOURS - SAINT EXUPERY,43.5872269863,1.46184604071,CARREFOUR STANDARD
PERIOLE - MARENGO,43.6116579563,1.45628480214,CARREFOUR STANDARD
MONTCABRIER - MARENGO,43.6107652572,1.45744519391,CARREFOUR STANDARD
PAIN LEVE - DEODAT DE SEVERAC,43.5866684515,1.42617880949,CARREFOUR STANDARD
PAPIN - PUJOL,43.6017695961,1.45838732543,CARREFOUR PIETON
BD DE L'EUROPE - ROND POINT GAROSSOS,43.6652562759,1.36120510798,CARREFOUR STANDARD
PPS JEAN BHUNES - BOURRASSOL,43.6023047488,1.42037319139,CARREFOUR PPS
LAFAY - NARBONNE,43.5548469278,1.46803472135,CARREFOUR STANDARD
MARFAING - NARBONNE,43.557103041,1.46513576878,CARREFOUR STANDARD
CHATEAU DE L'HERS - CHAUBET,43.6053569181,1.47991680523,CARREFOUR STANDARD
GAYRAL - BLAGNAC,43.6154978828,1.40995423572,CARREFOUR STANDARD
PPS PELLEPORT - PLANA,43.6103027237,1.47908559621,CARREFOUR PPS
MOZART - VESTREPAIN,43.5885985587,1.42110119443,CARREFOUR PIETON
BERGES - DESBALS,43.5823094273,1.41415330492,CARREFOUR PIETON
COLIGNON - MINIMES,43.6153347721,1.4441894674,CARREFOUR STANDARD
CAMICHEL ESCANDE,43.6025466039,1.45652874837,CARREFOUR PIETON
MASSONIE - GRANDE BRETAGNE,43.6013653592,1.41206278677,CARREFOUR PIETON
PPS SOUPETARD - CRETES,43.6092385954,1.47076808167,CARREFOUR PPS
PPS FRANKLIN - BARCELONE,43.6084502162,1.42560315677,CARREFOUR PPS
GIRATOIRE BASSO CAMBO - VCSM,43.5701024148,1.39076766377,CARREFOUR STANDARD
Echangeur Borderouge NORD,43.6476343039,1.4556594311,CARREFOUR STANDARD
SUZANNE NOEL TOEC,43.6008257482,1.40371951127,CARREFOUR STANDARD
HAMEAU DE LASBORDES - BALMA,43.5947287302,1.4989199886,CARREFOUR PIETON
SANCY - RN88,43.6592761439,1.48707768771,CARREFOUR STANDARD
PYRENEES - St JEAN,43.6520050502,1.49765935342,CARREFOUR STANDARD
PPS GLOIRE - SOUPETARD,43.6072529824,1.46771649747,CARREFOUR PPS
MARNAC RD813 - RAMONVILLE,43.5492387484,1.47930361629,CARREFOUR STANDARD
PPS BAUDELAIRE - RAMONVILLE,43.5481715877,1.47218270407,CARREFOUR PPS
MALADIE RD813,43.5057887608,1.50820815987,CARREFOUR STANDARD
BERLIOZ SAND - BLAGNAC,43.6510897064,1.37406983788,CARREFOUR STANDARD
CARPENTIER ANDROMEDE - BLAGNAC,43.6527473302,1.374057462,CARREFOUR STANDARD
SAVARY ANDROMEDE - BLAGNAC,43.654358954,1.37341769741,CARREFOUR STANDARD
LINDBERGH AEROPORT- BLAGNAC,43.6306197438,1.37660966399,CARREFOUR STANDARD
BELISAIRE - PARC,43.633237867,1.38854115188,CARREFOUR STANDARD
CARRIERE MURIERS - BLAGNAC,43.6371029837,1.39487503921,CARREFOUR STANDARD
BOURDETTES RD23,43.5528835933,1.35563720169,CARREFOUR STANDARD
NEGRIER - ST JEAN,43.662871781,1.49764005142,CARREFOUR STANDARD
PPS GUILLAUMET - CRETES,43.6140990202,1.46606285176,CARREFOUR PPS
MONUMENT AUX COMBATTANTS - VERDIER,43.5996959365,1.45234341843,CARREFOUR STANDARD
PPS BOURGELAT - SEYSSES,43.5769722726,1.42192284618,CARREFOUR PPS
ASSEZAT - METZ,43.6001217191,1.44260158541,CARREFOUR STANDARD
CALQUET - LARDENNE,43.5937214491,1.39166744047,CARREFOUR STANDARD
GORP - SAINT MICHEL,43.5866532744,1.44699566696,CARREFOUR STANDARD
PPS GALLIENI - 92 Rte d'ESPAGNE,43.5730410456,1.42427333081,CARREFOUR PPS
PONT SEJOURNE,43.6071987496,1.42827770848,CARREFOUR STANDARD
PONT MONTAUDRAN,43.5985240703,1.45642480067,CARREFOUR STANDARD
VERDIER - BOULINGRIN,43.5967964436,1.452151339,CARREFOUR PIETON
BREGUET - SAINT EXUPERY,43.579715896,1.48124593647,CARREFOUR STANDARD
GARE LACOURTENSOURT - ETATS UNIS,43.6639539016,1.41446402466,CARREFOUR PIETON
URSS - RECOLLETS,43.5844006478,1.44787003813,CARREFOUR STANDARD
ALES - MURET,43.583336697,1.42685820488,CARREFOUR STANDARD
MOULIS - FRONTON,43.6636967623,1.4307654812,CARREFOUR STANDARD
GIRONIS - ESPAGNE,43.5629629623,1.42517072103,CARREFOUR STANDARD
BARRIERE DE BAYONNE,43.5978464402,1.41992334172,CARREFOUR STANDARD
ABATTOIRS - FITTE,43.6009553113,1.42857306556,CARREFOUR STANDARD
LALANNE - SEYSSES,43.5654546759,1.41057619693,CARREFOUR STANDARD
MESPLE CAMBOULIVES - VCSM,43.5704134949,1.3860466745,CARREFOUR STANDARD
CAMBOULIVES  St SIMON- VCSM,43.5722365743,1.38283645455,CARREFOUR STANDARD
SAINT BERNARD - STRASBOURG,43.6092564551,1.44502895355,CARREFOUR STANDARD
PONT DE BOIS RD813,43.5296705499,1.48832027999,CARREFOUR STANDARD
ROGUET - FITTE,43.59784526,1.43082707786,CARREFOUR STANDARD
GARE MATABIAU,43.6114937377,1.45269437264,CARREFOUR STANDARD
RECLUSANE - PONT ST PIERRE,43.5988769819,1.43241156013,CARREFOUR STANDARD
PETIT TRAIN - SAINT PIERRE,43.5836671236,1.3359329948,CARREFOUR STANDARD
VESTREPAIN - DEODAT DE SEVERAC,43.589451152,1.4219473871,CARREFOUR STANDARD
ANGES - NEGRENEYS,43.6202060727,1.4412318665,CARREFOUR STANDARD
COTEAUX - NARBONNE,43.5699654386,1.45547474001,CARREFOUR STANDARD
FLAMBERE - ARENES  ROMAINES,43.6179997788,1.39665724127,CARREFOUR STANDARD
PPS SAUVEGRAIN - LARDENNE,43.5900715949,1.3778963738,CARREFOUR PPS
CASSELARDIT - GRANDE BRETAGNE,43.6036786996,1.40691884039,CARREFOUR STANDARD
MERMOZ - DESBALS,43.5832799375,1.41481517285,CARREFOUR STANDARD
RENAN - AUDIBERT,43.6366514562,1.44418766014,CARREFOUR STANDARD
NAVES - PUJOL,43.6006133468,1.46389220521,CARREFOUR STANDARD
ECHANGEUR CROIX DAURADE - ALBI,43.6438895856,1.46839097013,CARREFOUR STANDARD
DAURAT - REVEL,43.5730953453,1.49320796002,CARREFOUR STANDARD
GAZAGNE - ARC SAINT CYPRIEN,43.5930609605,1.42853932576,CARREFOUR STANDARD
PPS BUTTE - SAINT EXUPERY,43.5815264107,1.47581721033,CARREFOUR PPS
LIBRE ECHANGE - POMPIDOU,43.6123168875,1.45852667168,CARREFOUR PIETON
SAINT HONEST - MINIMES,43.6154208368,1.44238446566,CARREFOUR PIETON
CAMBARD - ATLANTA,43.6289526918,1.47652261449,CARREFOUR STANDARD
NEGRENEYS - MINIMES,43.615978855,1.44055936947,CARREFOUR STANDARD
BIALAR - MINIMES,43.6223431697,1.43486855999,CARREFOUR STANDARD
PPS DANTON - JULES JULIEN,43.576587741,1.450980813,CARREFOUR PPS
BRIAND - RANGUEIL,43.5775600986,1.45202713318,CARREFOUR STANDARD
SARRETTE - ALBI,43.6452617737,1.46928570285,CARREFOUR STANDARD
ALLENDE - ETATS UNIS,43.6589548348,1.41893335558,CARREFOUR STANDARD
GAILLARDIE - RAMELET MOUNDI,43.5823101849,1.37047146046,CARREFOUR STANDARD
PORT SAINT SAUVEUR - SABATIER,43.5966680096,1.45574128271,CARREFOUR PIETON
14 JUILLET - ST SIMON,43.5898429918,1.41519565742,CARREFOUR STANDARD
GERBAULT - SAINT SIMON,43.5907586863,1.41772914553,CARREFOUR STANDARD
FRENAY - LAPUJADE,43.6253158994,1.45430435805,CARREFOUR STANDARD
BAZACLE - SEJOURNE,43.6054178033,1.42813288107,CARREFOUR STANDARD
CAHUZAC - REYNERIE,43.5658785153,1.39391857014,CARREFOUR STANDARD
COMPANS - MARENGO,43.6099832128,1.45506976595,CARREFOUR STANDARD
HOTEL DU DEPARTEMENT - MARQUETTE,43.615176645,1.43450262893,CARREFOUR STANDARD
MARENGO - SNCF,43.6107321167,1.45500794124,CARREFOUR STANDARD
PPS OURLIAC,43.5629497338,1.39156083398,CARREFOUR PPS
LANUSSE - BOURGES MAUNOURY,43.6352617932,1.45279221541,CARREFOUR STANDARD
LAMBIC - MINIMES,43.6259833049,1.43393571627,CARREFOUR PIETON
ARTHAUD - NETWILLER,43.6430471978,1.45597471789,CARREFOUR STANDARD
WOOLF - LAUNAGUET,43.6546183773,1.43781257362,CARREFOUR STANDARD
PADER - FRONTON,43.6365290922,1.43328785452,CARREFOUR STANDARD
GARE BUS - NETWILLER,43.6409867089,1.45273357596,CARREFOUR STANDARD
GRIFFON - LABEGE,43.5577872614,1.50358238738,CARREFOUR PIETON
PORT St ETIENNE - MONTAUDRAN,43.5994817819,1.45596022718,CARREFOUR STANDARD
PPS VAN DYCK - LAUNAGUET,43.6410113909,1.43914555131,CARREFOUR PPS
PPS DIEU BONNEFOY,43.6227646818,1.45867080881,CARREFOUR PPS
SANS - LOMBEZ,43.5952041323,1.41635192402,CARREFOUR PIETON
CARENES PRAT_LONG - BALMA,43.6273079237,1.48273479566,CARREFOUR STANDARD
MITTERRAND PRADEL - BALMA,43.603419811,1.50461834566,CARREFOUR STANDARD
EGLISE TOLOSANE - RAMONVILLE,43.5512045714,1.46998748258,CARREFOUR STANDARD
BAC TOLOSANE - RAMONVILLE,43.5467973622,1.47361114318,CARREFOUR STANDARD
GUYENNE - Rte GRENADE BLAGNAC,43.6312558213,1.39140870379,CARREFOUR STANDARD
TILLEULS  MURIERS - BLAGNAC,43.6360666159,1.38590915683,CARREFOUR STANDARD
PLACE DE CATALOGNE - BLAGNAC,43.6411943871,1.38031963417,CARREFOUR STANDARD
PLACE GEORGES BRASSENS - BLAGNAC,43.6479367577,1.37560480166,CARREFOUR STANDARD
SAND BRASSENS - BLAGNAC,43.6489673871,1.37500522941,CARREFOUR STANDARD
ZIEGLER REPUBLIQUE - BLAGNAC,43.6618145061,1.3636149608,CARREFOUR STANDARD
N° 7 AVENUE DIDIER DAURAT - BLAGNAC,43.6288865925,1.38004862609,CARREFOUR STANDARD
N° 27 RUE CHARLES LINDBERGH - BLAGNAC,43.6296121435,1.37810342455,CARREFOUR STANDARD
CUISINE CENTRALE - BLAGNAC,43.6217681372,1.39548335755,CARREFOUR STANDARD
REPUBLIQUE NOUGARO - BEAUZELLE,43.6623276144,1.3677317107,CARREFOUR STANDARD
PETIT JEAN RD23,43.5484592358,1.35093108469,CARREFOUR STANDARD
184 AVENUE GRANDE BRETAGNE,43.6015522818,1.41162680152,CARREFOUR PIETON
REVEL - ROCADE CAMPAGNE,43.5723902981,1.49547708465,CARREFOUR STANDARD
PPS OUSTALOUS -  ESPAGNE,43.5750721129,1.42421977406,CARREFOUR PPS
PPS RANGUEIL PARC - NARBONNE,43.5583679687,1.4641376347,CARREFOUR PPS
BETEILLE - BONNEFOY,43.6191318963,1.45665009086,CARREFOUR PIETON
BILA - ALBI,43.6268981238,1.45898854814,CARREFOUR PIETON
BENOZZI -CAULET,43.6063241234,1.35532694303,CARREFOUR STANDARD
MONTAGNE - LARDENNE,43.589853172,1.37056830037,CARREFOUR STANDARD
MAXWELL - LARDENNE,43.5902440536,1.36792326914,CARREFOUR STANDARD
