nom,latitue,longitude,type,sonore
ESQUIROL - METZ,43.6004912928,1.44567266016,CARREFOUR STANDARD,VOCAL
LAFOURCADE - SAINT MICHEL,43.5928542909,1.44443255394,CARREFOUR STANDARD,SONORE
LEFEBVRE-REYNERIE,43.5659134888,1.39607419395,CARREFOUR STANDARD,SONORE
ARENES St JEAN - BALMA,43.6154479937,1.49353236801,CARREFOUR STANDARD,SONORE
SAINT HONEST - MATABIAU,43.6150103981,1.44241014414,CARREFOUR PIETON,VOCAL
JOULIN - ESPAGNE,43.5502692017,1.42096341982,CARREFOUR PIETON,SONORE
GUYENNE - LANGUEDOC,43.585843202,1.34022511002,CARREFOUR STANDARD,SONORE
PONT DU BEARNAIS,43.6120837183,1.42530727223,CARREFOUR STANDARD,SONORE
FER A CHEVAL,43.5928090527,1.43442740996,CARREFOUR STANDARD,SONORE
WIESEL  - ROUTE DE TOULOUSE,43.5700488739,1.30830359157,CARREFOUR STANDARD,SONORE
SABATIER - BOULINGRIN,43.5960293429,1.45392154054,CARREFOUR PIETON,SONORE
MARC ARCIS - MINIMES,43.6234159215,1.43436524459,CARREFOUR STANDARD,VOCAL
EMILE MALE,43.5913234653,1.41900012789,CARREFOUR STANDARD,SONORE
NUNGESSER & COLI - DEODAT,43.5905351716,1.42026974156,CARREFOUR STANDARD,SONORE
MEDITERRANEE - MARINE,43.5821035882,1.46309891259,CARREFOUR STANDARD,SONORE
ECOLE SAINTE BARBE - DUPORTAL,43.6061417855,1.43465979628,CARREFOUR PIETON,VOCAL
DAYDE - SUISSE,43.6150720435,1.42099795182,CARREFOUR STANDARD,SONORE
MULE - DORVAL,43.5945852218,1.45692932262,CARREFOUR STANDARD,VOCAL
LYCEE TOULOUSE LAUTREC - CURIE,43.6252167747,1.44107212837,CARREFOUR STANDARD,SONORE
TOURAINE - SEYSSES,43.5724640817,1.41843312826,CARREFOUR STANDARD,SONORE
JUIN - LONGAUD,43.5884680603,1.43992110598,CARREFOUR STANDARD,SONORE
MOLETTE - LARDENNE,43.5909771338,1.38372690413,CARREFOUR STANDARD,VOCAL
BANVILLE - ALBI,43.6405703862,1.46629730722,CARREFOUR STANDARD,SONORE
ECOLE  AMIDONNIERS - BRIENNE,43.6097393284,1.42053400454,CARREFOUR PIETON,SONORE
SAINTE AUGUSTINE - MICHOUN,43.6250231064,1.46537098338,CARREFOUR STANDARD,SONORE
LECLERC - BARCELONE,43.6066788861,1.43047056879,CARREFOUR STANDARD,VOCAL
LUMIERE - CASSELARDIT,43.6099011356,1.4056587225,CARREFOUR STANDARD,SONORE
PHOEBUS - MURET,43.5896326332,1.43204885923,CARREFOUR STANDARD,SONORE
PN 7- DEODAT,43.5885185231,1.42339227207,CARREFOUR PIETON,SONORE
PPS JAPON - DEMOISELLES,43.5888768131,1.45753008303,CARREFOUR PPS,SONORE
TOULON - TASSIGNY,43.5813092332,1.43849518638,CARREFOUR STANDARD,SONORE
MINT - FRONTON,43.6393419364,1.43338342581,CARREFOUR STANDARD,SONORE
AUBISQUE - CASTRES,43.5974634548,1.48161694193,CARREFOUR STANDARD,SONORE
VIOLET LE DUC - PASSERIEU,43.5802604805,1.39105622966,CARREFOUR STANDARD,SONORE
TISSIE - LARDENNE,43.5932831729,1.3935737605,CARREFOUR STANDARD,VOCAL
COURSES - LARDENNE,43.5920971373,1.39955868142,CARREFOUR STANDARD,SONORE
VITARELLES - LARDENNE,43.5920292599,1.39821757308,CARREFOUR STANDARD,SONORE
CUVIER - ALBI,43.6365672091,1.46434673579,CARREFOUR PIETON,VOCAL
GARE ROUTIERE - SEMARD,43.6127564796,1.4522772026,CARREFOUR STANDARD,SONORE
CONCORDE - PRINTEMPS,43.6133461551,1.44638612695,CARREFOUR STANDARD,SONORE
CONCORDE - MATABIAU,43.6150467651,1.44787147772,CARREFOUR STANDARD,VOCAL
TROIS FOURS - SAINT EXUPERY,43.5872269863,1.46184604071,CARREFOUR STANDARD,VOCAL
PERIOLE - MARENGO,43.6116579563,1.45628480214,CARREFOUR STANDARD,VOCAL
MONTCABRIER - MARENGO,43.6107652572,1.45744519391,CARREFOUR STANDARD,VOCAL
PAIN LEVE - DEODAT DE SEVERAC,43.5866684515,1.42617880949,CARREFOUR STANDARD,SONORE
PAPIN - PUJOL,43.6017695961,1.45838732543,CARREFOUR PIETON,VOCAL
BD DE L'EUROPE - ROND POINT GAROSSOS,43.6652562759,1.36120510798,CARREFOUR STANDARD,SONORE
PPS JEAN BHUNES - BOURRASSOL,43.6023047488,1.42037319139,CARREFOUR PPS,VOCAL
LAFAY - NARBONNE,43.5548469278,1.46803472135,CARREFOUR STANDARD,SONORE
MARFAING - NARBONNE,43.557103041,1.46513576878,CARREFOUR STANDARD,SONORE
CHATEAU DE L'HERS - CHAUBET,43.6053569181,1.47991680523,CARREFOUR STANDARD,SONORE
GAYRAL - BLAGNAC,43.6154978828,1.40995423572,CARREFOUR STANDARD,SONORE
PPS PELLEPORT - PLANA,43.6103027237,1.47908559621,CARREFOUR PPS,VOCAL
MOZART - VESTREPAIN,43.5885985587,1.42110119443,CARREFOUR PIETON,SONORE
