codePostal,longitude,latitude,adress,libelle_du_site,record_timestamp
31300,1.42715,43.5971,37 TER AVENUE ETIENNE BILLIERES,TOULOUSE ST CYPRIEN RPT RP,2020-06-08T21:38:00+00:00
31300,1.420469,43.597493,33 AVENUE DE GRANDE BRETAGNE,TOULOUSE GRANDE BRETAGNE,2020-06-08T21:38:00+00:00
31300,1.43655,43.59829,10 PLACE LAGANNE,TOULOUSE CARREFOUR CITY PL LAGAN RP,2020-06-08T21:38:00+00:00
31300,1.37848,43.60831,195 ROUTE DE BAYONNE,TOULOUSE ETOILE ST MARTIN T LPR RP,2020-06-08T21:38:00+00:00
31300,1.4278,43.5856,2 BD DE DEODAT DE SEVERAC,TOULOUSE CITY DEODAT RP,2020-06-08T21:38:00+00:00
31300,1.3798,43.6091,2 RUE RENE SENTENAC,TOULOUSE ST MARTIN DU TOUCH AP,2020-06-08T21:38:00+00:00
31300,1.380835,43.608997,154 ROUTE DE BAYONNE,TOULOUSE SAINT MARTIN DU TOUCH BP,2020-06-08T21:38:00+00:00
31300,1.4199,43.6012,46 BOULEVARD JEAN BRUNHES,TOULOUSE CASINO SHOP BRUNHES RP,2020-06-08T21:38:00+00:00
31300,1.397166,43.619396,AVENUE DES ARENES ROMAINES,TOULOUSE ANCELY BP,2020-06-08T21:38:00+00:00
31300,1.431009,43.597294,67 ALLEES CHARLES DE FITTE,TOULOUSE SAINT CYPRIEN REPUBLIQUE,2020-06-08T21:38:00+00:00
31300,1.427963,43.58585299999999,4 BOULEVARD DEODAT DE SEVERAC,TOULOUSE CROIX DE PIERRE BP,2020-06-08T21:38:00+00:00
