Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6061672902,1.44700714393;"{""type"": ""LineString"", ""coordinates"": [[1.447043549053344, 43.60599585712653], [1.446970738803668, 43.60633872320298]]}";PL VICTOR HUGO;HUGO (PL VICTOR HUGO);3328;3328;Toulouse;31555;315553478418;3105558840;39;Aire Pietonne;18/206;2018-12-17T01:00:00+01:00;2018;Centre;oui;oui;
43.6031251641,1.44967057949;"{""type"": ""LineString"", ""coordinates"": [[1.450235312210948, 43.60315039162685], [1.449609132962198, 43.603146423747845], [1.449288877659131, 43.60314391929549], [1.449280502878954, 43.602919621615705]]}";PL OCCITANE;OCCITANE (PL OCCITANE);8743;8743;TOULOUSE;31555;315558348542;3105556350;101;Aire Pietonne;11/109;;2011;Centre;;;
43.6020368223,1.44312470053;"{""type"": ""LineString"", ""coordinates"": [[1.443533602239367, 43.602054143587324], [1.443345982846509, 43.602063077051326], [1.443182116799995, 43.60205138165042], [1.442953437868199, 43.6020202411081], [1.442716909221257, 43.60199282935922]]}";RUE BEDELIERES;BEDELIERES (RUE BEDELIERES);4611;4611;TOULOUSE;31555;315558413725;3105550973;66;Aire Pietonne;11/098;;2011;Centre;;;
43.6099746058,1.43869670415;"{""type"": ""LineString"", ""coordinates"": [[1.438237921962056, 43.60989724153577], [1.438732578057233, 43.60999389243969], [1.439159215191338, 43.610023761747996]]}";RUE DES QUETEURS;QUETEURS (RUE DES QUETEURS);3239;3239;TOULOUSE;31555;315555680009;3105557228;76;Aire Pietonne;07/307;;2007;Centre;oui;oui;
43.601787491,1.44789444448;"{""type"": ""LineString"", ""coordinates"": [[1.448130000031852, 43.60192264641638], [1.447658888935035, 43.601652335549474]]}";PL SAINT GEORGES;GEORGES (PL SAINT GEORGES);4680;4680;TOULOUSE;31555;315556211216;3105557792;48;Aire Pietonne;11/111;;2011;Centre;;;
43.6021470724,1.44800040893;"{""type"": ""LineString"", ""coordinates"": [[1.447870826291798, 43.60237116541308], [1.448129991566843, 43.60192297938959]]}";PL SAINT GEORGES;GEORGES (PL SAINT GEORGES);4681;4681;TOULOUSE;31555;315556211216;3105557792;54;Aire Pietonne;11/111;;2011;Centre;;;
43.6040821113,1.44989315101;"{""type"": ""LineString"", ""coordinates"": [[1.449779543680223, 43.603770311846716], [1.449930013934525, 43.604248283309424], [1.45007841672543, 43.60433744286593]]}";RUE PIERRE BAUDIS;BAUDIS (RUE PIERRE BAUDIS);8502;8502;TOULOUSE;31555;315556166458;3105556854;70;Aire Pietonne;11/112;;2011;Centre;oui;oui;
43.6024974185,1.44598399625;"{""type"": ""LineString"", ""coordinates"": [[1.445637233744555, 43.60251066570052], [1.445828778631475, 43.60249988178971], [1.446030834313173, 43.60248254111884], [1.446188175405139, 43.60249513500458], [1.446329792663813, 43.60251516932679]]}";RUE DU FOURBASTARD;FOURBASTARD (RUE DU FOURBASTARD);4662;4662;TOULOUSE;31555;315552915257;3105553416;56;Aire Pietonne;11/108;;2011;Centre;oui;oui;
43.6021925819,1.44305396415;"{""type"": ""LineString"", ""coordinates"": [[1.44258907875321, 43.60200885073454], [1.4427520669374, 43.60207825827418], [1.443032598984223, 43.6022119863565], [1.443411322558361, 43.60230768677121], [1.44353620943348, 43.6023153010424]]}";RUE DU MAY;MAY (RUE DU MAY);5111;5111;TOULOUSE;31555;315554528018;3105555836;85;Aire Pietonne;11/099;;2011;Centre;;;
43.6029490491,1.44381641604;"{""type"": ""LineString"", ""coordinates"": [[1.443504841131576, 43.60293287231645], [1.444127990944348, 43.60296522593865]]}";RUE BAOUR LORMIAN;LORMIAN (RUE BAOUR LORMIAN);4641;4641;TOULOUSE;31555;315550521637;3105550816;50;Aire Pietonne;11/105;;2011;Centre;;;
43.6027918059,1.44422530376;"{""type"": ""LineString"", ""coordinates"": [[1.444325404879928, 43.60264887561421], [1.444325167309706, 43.60275201237643], [1.444192382004174, 43.60275096340623], [1.444158236194496, 43.60285855005358], [1.444127990944348, 43.60296522593865]]}";IMP BAOUR LORMIAN;LORMIAN (IMP BAOUR LORMIAN);4642;4642;TOULOUSE;31555;315550524810;3105550812;47;Aire Pietonne;11/106;;2011;Centre;;;
43.6068743475,1.4423001617;"{""type"": ""LineString"", ""coordinates"": [[1.442351684005752, 43.606737566998476], [1.442248639399711, 43.60701112804479]]}";RUE DU TAUR;TAUR (RUE DU TAUR);3260;3260;TOULOUSE;31555;315556790415;3105558408;32;Aire Pietonne;13/114;;2013;Centre;oui;oui;modif arrete  en 2011
43.6061920805,1.44252585195;"{""type"": ""LineString"", ""coordinates"": [[1.442619161049971, 43.60582950338027], [1.442432542843583, 43.60655465760355]]}";RUE DU TAUR;TAUR (RUE DU TAUR);3309;3309;TOULOUSE;31555;315556790415;3105558408;82;Aire Pietonne;13/114;;2013;Centre;oui;oui;modif arrete  en 2011
43.6027567247,1.44565246765;"{""type"": ""LineString"", ""coordinates"": [[1.445637259886944, 43.60251061203795], [1.445667675414735, 43.60300283743616]]}";RUE D ALSACE LORRAINE;LORRAINE (RUE D ALSACE LORRAINE);4685;4685;TOULOUSE;31555;315550118429;3105550224;55;Aire Pietonne;13/107;;2010;Centre;oui;oui;
