geo_point_2d;numero;nb_carrefours;nom;nom_complet;date_maj;pps;sonore;tc;tm_htm;insee_commune;genre;code_tournee
43.6004912928,1.44567266016;1;1;ESQUIROL - METZ;1 : ESQUIROL - METZ;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T01
43.5928542909,1.44443255394;7;2;LAFOURCADE - SAINT MICHEL;7 : LAFOURCADE - SAINT MICHEL;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T01
43.5659134888,1.39607419395;568;1;LEFEBVRE-REYNERIE;568 : LEFEBVRE-REYNERIE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T08
43.6154479937,1.49353236801;5023;1;ARENES St JEAN - BALMA;5023 : ARENES St JEAN - BALMA;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31044;CARREFOUR STANDARD;T05
43.6150103981,1.44241014414;41;1;SAINT HONEST - MATABIAU;41 : SAINT HONEST - MATABIAU;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR PIETON;T02
43.5502692017,1.42096341982;673;2;JOULIN - ESPAGNE;673 : JOULIN - ESPAGNE;2019-12-02T01:00:00+01:00;NON;SONORE;TC;TM;31555;CARREFOUR PIETON;
43.585843202,1.34022511002;6911;1;GUYENNE - LANGUEDOC;6911 : GUYENNE - LANGUEDOC;2019-03-26T01:00:00+01:00;NON;SONORE;TC;TM;31557;CARREFOUR STANDARD;
43.6120837183,1.42530727223;48;1;PONT DU BEARNAIS;48 : PONT DU BEARNAIS;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T02
43.5928090527,1.43442740996;49;1;FER A CHEVAL;49 : FER A CHEVAL;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T01
43.5700488739,1.30830359157;9105;1;WIESEL  - ROUTE DE TOULOUSE;9105 : WIESEL  - ROUTE DE TOULOUSE;2019-01-04T01:00:00+01:00;NON;SONORE;TC;HTM;31424;CARREFOUR STANDARD;
43.5960293429,1.45392154054;64;1;SABATIER - BOULINGRIN;64 : SABATIER - BOULINGRIN;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR PIETON;T01
43.6234159215,1.43436524459;98;1;MARC ARCIS - MINIMES;98 : MARC ARCIS - MINIMES;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T02
43.5913234653,1.41900012789;116;1;EMILE MALE;116 : EMILE MALE;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T09
43.5905351716,1.42026974156;151;1;NUNGESSER & COLI - DEODAT;151 : NUNGESSER & COLI - DEODAT;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T08
43.5821035882,1.46309891259;156;1;MEDITERRANEE - MARINE;156 : MEDITERRANEE - MARINE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T02
43.6061417855,1.43465979628;172;1;ECOLE SAINTE BARBE - DUPORTAL;172 : ECOLE SAINTE BARBE - DUPORTAL;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR PIETON;T01
43.6150720435,1.42099795182;193;1;DAYDE - SUISSE;193 : DAYDE - SUISSE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T02
43.5945852218,1.45692932262;205;1;MULE - DORVAL;205 : MULE - DORVAL;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T02
43.6252167747,1.44107212837;206;1;LYCEE TOULOUSE LAUTREC - CURIE;206 : LYCEE TOULOUSE LAUTREC - CURIE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T03
43.5724640817,1.41843312826;211;1;TOURAINE - SEYSSES;211 : TOURAINE - SEYSSES;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T08
43.5884680603,1.43992110598;189;2;JUIN - LONGAUD;189 : JUIN - LONGAUD;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T07
43.5909771338,1.38372690413;192;1;MOLETTE - LARDENNE;192 : MOLETTE - LARDENNE;2018-11-27T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T09
43.6405703862,1.46629730722;228;1;BANVILLE - ALBI;228 : BANVILLE - ALBI;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T04
43.6097393284,1.42053400454;264;1;ECOLE  AMIDONNIERS - BRIENNE;264 : ECOLE  AMIDONNIERS - BRIENNE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR PIETON;T01
43.6250231064,1.46537098338;231;1;SAINTE AUGUSTINE - MICHOUN;231 : SAINTE AUGUSTINE - MICHOUN;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T04
43.6066788861,1.43047056879;242;1;LECLERC - BARCELONE;242 : LECLERC - BARCELONE;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T01
43.6099011356,1.4056587225;281;1;LUMIERE - CASSELARDIT;281 : LUMIERE - CASSELARDIT;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T10
43.5896326332,1.43204885923;299;1;PHOEBUS - MURET;299 : PHOEBUS - MURET;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T07
43.5885185231,1.42339227207;305;1;PN 7- DEODAT;305 : PN 7- DEODAT;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR PIETON;T08
43.5888768131,1.45753008303;307;1;PPS JAPON - DEMOISELLES;307 : PPS JAPON - DEMOISELLES;2019-02-08T01:00:00+01:00;PPS;SONORE;NON;TM;31555;CARREFOUR PPS;T02
43.5813092332,1.43849518638;274;1;TOULON - TASSIGNY;274 : TOULON - TASSIGNY;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T07
43.6393419364,1.43338342581;304;1;MINT - FRONTON;304 : MINT - FRONTON;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T03
43.5974634548,1.48161694193;308;1;AUBISQUE - CASTRES;308 : AUBISQUE - CASTRES;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T05
43.5802604805,1.39105622966;366;1;VIOLET LE DUC - PASSERIEU;366 : VIOLET LE DUC - PASSERIEU;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T09
43.5932831729,1.3935737605;370;1;TISSIE - LARDENNE;370 : TISSIE - LARDENNE;2018-11-27T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T09
43.5920971373,1.39955868142;382;1;COURSES - LARDENNE;382 : COURSES - LARDENNE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T09
43.5920292599,1.39821757308;383;1;VITARELLES - LARDENNE;383 : VITARELLES - LARDENNE;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T09
43.6365672091,1.46434673579;418;1;CUVIER - ALBI;418 : CUVIER - ALBI;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR PIETON;T04
43.6127564796,1.4522772026;435;1;GARE ROUTIERE - SEMARD;435 : GARE ROUTIERE - SEMARD;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T02
43.6133461551,1.44638612695;443;1;CONCORDE - PRINTEMPS;443 : CONCORDE - PRINTEMPS;2015-11-23T01:00:00+01:00;NON;SONORE;NON;TM;31555;CARREFOUR STANDARD;T02
43.6150467651,1.44787147772;444;1;CONCORDE - MATABIAU;444 : CONCORDE - MATABIAU;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T02
43.5872269863,1.46184604071;459;1;TROIS FOURS - SAINT EXUPERY;459 : TROIS FOURS - SAINT EXUPERY;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T05
43.6116579563,1.45628480214;469;1;PERIOLE - MARENGO;469 : PERIOLE - MARENGO;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T04
43.6107652572,1.45744519391;471;1;MONTCABRIER - MARENGO;471 : MONTCABRIER - MARENGO;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR STANDARD;T04
43.5866684515,1.42617880949;490;1;PAIN LEVE - DEODAT DE SEVERAC;490 : PAIN LEVE - DEODAT DE SEVERAC;2015-11-23T01:00:00+01:00;NON;SONORE;TRAM;TM;31555;CARREFOUR STANDARD;T08
43.6017695961,1.45838732543;503;1;PAPIN - PUJOL;503 : PAPIN - PUJOL;2015-11-23T01:00:00+01:00;NON;VOCAL;NON;TM;31555;CARREFOUR PIETON;T05
