Street;Motdir;Commune;"Code
Insee";"Date
Comptage";Année;Section;Sens de comptage;"Voie en
Sens unique";Type;"Moyenne
Jours ouvrés par semaine "
CHE DE BESSAYRE;BESSAYRE (CHE DE BESSAYRE);St-Jean;31488;2014-02-08;2014.0;ENTRE VALLON ET MERMOZ;VERS CH DE MONTRABE;;TV;4010.0
RUE DE BAYARD;BAYARD (RUE DE BAYARD)_TOULOUSE;Toulouse;31555;2014-05-14;2014.0;ENTRE ORIENT ET LAFON;VERS LAFON;oui;TV;7036.0
RUE DE MAURYS;MAURYS (RUE DE MAURYS);Gratentour;31230;2014-04-21;2014.0;ENTRE TASCAS ET AV DE TOULOUSE;VERS GRATENTOUR;;TV;2309.0
RUE DU TASCAS;TASCAS (RUE DU TASCAS);Gratentour;31230;2014-04-24;2014.0;ENTRE MAURYS ET PRUNIERS;VERS PECHBONIEU;;TV;3104.0
RUE LOUIS PLANA;PLANA (RUE LOUIS PLANA);Toulouse;31555;2014-04-08;2014.0;ENTRE SURCOUF ET FRATERNITE;VERS SURCOUF;;TV;4669.0
RUE CHARLES GOUNOD;GOUNOD (RUE CHARLES GOUNOD);Toulouse;31555;2014-03-20;2014.0;ENTRE BAUDELAIRE ET KRUGER;VERS ROLAND GARROS;;TV;863.0
CHE DE LADOUX;LADOUX (CHE DE LADOUX);Saint-Jory;31490;2014-02-22;2014.0;ENTRE TRINCHET ET PARC;VERS CHE PARC;;TV;1306.0
RUE EMILE LECRIVAIN;LECRIVAIN (RUE EMILE LECRIVAIN);Toulouse;31555;2014-05-17;2014.0;ENTRE CARROSSE ET COLLENOT;VERS COLLENOT;;TV;954.0
RTE DE CORNEBARRIEU;CORNEBARRIEU (RTE DE CORNEBARRIEU);Aussonne;31032;2014-09-19;2014.0;ENTRE GRAOS ET PANARIOL;VERS CHE DE FOURTANIER;;TV;5104.0
AV CRAMPEL;CRAMPEL (AV CRAMPEL);Toulouse;31555;2014-09-15;2014.0;ENTRE CLEMENCEAU ET RACINE;VERS SEGOFFIN;;TV;15123.0
RTE D AUCH;AUCH (RTE D AUCH);Colomiers;31149;2014-01-22;2014.0;ECHANGEUR 6 RN 124;VERS TOULOUSE RN124;oui;TV;13431.0
CHE DE RIVALSUPERVIC;RIVALSUPERVIC (CHE DE RIVALSUPERVIC);Toulouse;31555;2014-01-20;2014.0;ENTRE CHE DES ETROITS CHE PLANTADE;VERS CHE DES ETROITS;;TV;2341.0
CHE VIREBENT;VIREBENT (CHE VIREBENT);Launaguet;31282;2014-01-13;2014.0;ENTRE PALANQUE ET ENCOURSE;LES 2 SENS;;TV;8586.0
CHE DES COMBES;COMBES (CHE DES COMBES)_LAUNAGUET;Launaguet;31282;2014-09-22;2014.0;ENTRE CAZALBARBIER ET BRASSENS;LES 2 SENS;;TV;1952.0
CHE DE LESTANG;LESTANG (CHE DE LESTANG)_TOULOUSE;Toulouse;31555;2014-10-06;2014.0;ENTRE EISENHOWER ET PERPIGNAN;LES 2 SENS;;TV;11271.0
