geo_point_2d;Geo Shape;nom_point;transposée;annee;jours;periode_dans_la_journee;comptage
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_journee_2019;2019;semaine;journee;0
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_soir_2006;2006;semaine;soir;271
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_soir_2008;2008;semaine;soir;314
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_journee_2016;2016;semaine;journee;399
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_matin_2006;2006;semaine;matin;246
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_matin_2001;2001;semaine;matin;183
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_journee_2006;2006;semaine;journee;251
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;samedi_journee_2014;2014;samedi;journee;253
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;samedi_midi_2013;2013;samedi;midi;0
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_midi_2018;2018;semaine;midi;261
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;samedi_midi_2012;2012;samedi;midi;237
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_matin_2014;2014;semaine;matin;359
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_journee_2013;2013;semaine;journee;0
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_soir_2012;2012;semaine;soir;378
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;samedi_journee_2001;2001;samedi;journee;106
43.6001875278,1.45192597119;"{""type"": ""Point"", ""coordinates"": [1.451925971194056, 43.60018752784043]}";Monument aux morts;semaine_soir_2013;2013;semaine;soir;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_journee_2019;2019;semaine;journee;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;samedi_midi_2014;2014;samedi;midi;278
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;samedi_soir_2012;2012;samedi;soir;346
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_midi_2012;2012;semaine;midi;212
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_matin_2017;2017;semaine;matin;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;samedi_soir_2001;2001;samedi;soir;72
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_matin_2010;2010;semaine;matin;283
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_soir_2012;2012;semaine;soir;379
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;samedi_journee_1998;1998;samedi;journee;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_soir_2019;2019;semaine;soir;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_soir_2017;2017;semaine;soir;0
43.6032852395,1.4356635361;"{""type"": ""Point"", ""coordinates"": [1.435663536102507, 43.603285239492735]}";Pont Saint Pierre;semaine_soir_2016;2016;semaine;soir;518
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_journee_2019;2019;semaine;journee;0
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;samedi_soir_2014;2014;samedi;soir;252
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;samedi_soir_2012;2012;samedi;soir;285
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_journee_1998;1998;semaine;journee;0
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_midi_2017;2017;semaine;midi;0
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_midi_2014;2014;semaine;midi;113
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;samedi_midi_1998;1998;samedi;midi;0
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_soir_2017;2017;semaine;soir;0
43.6013797722,1.43963917725;"{""type"": ""Point"", ""coordinates"": [1.439639177248647, 43.601379772244044]}";Daurade Parking;semaine_soir_2014;2014;semaine;soir;243
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_journee_2019;2019;semaine;journee;0
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_soir_2006;2006;semaine;soir;387
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_journee_2018;2018;semaine;journee;516
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_journee_2012;2012;semaine;journee;388
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_journee_2016;2016;semaine;journee;383
43.6000245442,1.44244834157;"{""type"": ""Point"", ""coordinates"": [1.442448341566052, 43.60002454420763]}";Metz Ouest;semaine_matin_2001;2001;semaine;matin;85
