Geo Point;Geo Shape;Lib_voie;mot_dir;No;commune;code_insee;id_TAXI;nb_places;arrete;date;annee;pole;secteur;supprime;supp_arrete;supp_date;supp_annee;observations
43.6000889369,1.37218403127;"{""type"": ""Point"", ""coordinates"": [1.372184031274379, 43.60008893694768]}";HALTE SNCF LIGNE C ST MARTIN;;;TOULOUSE;31555;;2;2004;;-9999;Ouest;;;;;-9999;Sur parking ligne C halte ST Martin
43.5795650163,1.48093911766;"{""type"": ""Point"", ""coordinates"": [1.480939117660954, 43.579565016300315]}";ROND POINT HENRY POTEZ;;;TOULOUSE;31555;;4;2004;;-9999;Sud-est;;;;;-9999;
43.5974987589,1.44550295922;"{""type"": ""Point"", ""coordinates"": [1.44550295921842, 43.59749875888836]}";PL DES CARMES;CARMES (PL DES CARMES);1;TOULOUSE;31555;315551443238_1;3;2007;;-9999;Centre-nord;;;;;-9999;
43.5808725951,1.44935661817;"{""type"": ""Point"", ""coordinates"": [1.449356618166704, 43.58087259507503]}";AV DE L URSS;URSS (AV DE L URSS);56;TOULOUSE;31555;315557036843_56;3;2007;;-9999;Sud-est;;;;;-9999;
43.6092048839,1.44654449164;"{""type"": ""Point"", ""coordinates"": [1.446544491644528, 43.609204883921976]}";PL JEANNE D ARC;ARC (PL JEANNE D ARC);12;TOULOUSE;31555;315553619221_12;3;2007;;-9999;Centre-nord;;;;;-9999;
43.5945048927,1.44433067068;"{""type"": ""Point"", ""coordinates"": [1.444330670677339, 43.5945048927114]}";PL DU SALIN;SALIN (PL DU SALIN);10;TOULOUSE;31555;315556454410_10;3;2011;;-9999;Centre-nord;;;;;-9999;
43.5600454225,1.49611526033;"{""type"": ""Point"", ""coordinates"": [1.496115260333775, 43.56004542247413]}";RUE DES COSMONAUTES;COSMONAUTES (RUE DES COSMONAUTES);30;TOULOUSE;31555;315558369610_30;4;2013;2013-12-23T01:00:00+01:00;-9999;Sud-est;;;;;-9999;
43.5552558568,1.42633687412;"{""type"": ""Point"", ""coordinates"": [1.426336874120356, 43.55525585684412]}";AV IRENE JOLIOT CURIE;CURIE (AV IRENE JOLIOT CURIE);1;TOULOUSE;31555;315559000167_1;6;2014;2014-12-08T01:00:00+01:00;-9999;;;;;;-9999;
43.6039214969,1.44357134241;"{""type"": ""Point"", ""coordinates"": [1.443571342408031, 43.60392149685873]}";PL DU CAPITOLE;CAPITOLE (PL DU CAPITOLE);3;TOULOUSE;31555;315551420803_3;7;2004;;-9999;Centre-nord;;;;;-9999;
43.6047213506,1.44773721862;"{""type"": ""Point"", ""coordinates"": [1.447737218619278, 43.60472135056773]}";PL DU PDT THOMAS WILSON;WILSON (PL DU PDT THOMAS WILSON);2;TOULOUSE;31555;315555593605_2;12;2007;;-9999;Centre-nord;;;;;-9999;
43.6081479131,1.44602150179;"{""type"": ""Point"", ""coordinates"": [1.446021501794702, 43.60814791310527]}";BD DE STRASBOURG;STRASBOURG (BD DE STRASBOURG);33;TOULOUSE;31555;315556707235_33;3;2007;;-9999;Centre-nord;;;;;-9999;
43.6111719024,1.37128726518;"{""type"": ""Point"", ""coordinates"": [1.371287265177855, 43.61117190237124]}";CHE DE LA CRABE;CRABE (CHE DE LA CRABE);0;TOULOUSE;31555;;2;0;;-9999;Ouest;;;;;-9999;AIRBUS Entree chemin de la Crabe
43.5545325687,1.53266609247;"{""type"": ""Point"", ""coordinates"": [1.532666092470744, 43.55453256865524]}";PL DE LA POSTE;POSTE (PL DE LA POSTE);2B;ST-ORENS-DE-GAMEVILLE;31506;315060000159_2B;2;2013;2013-11-10T01:00:00+01:00;-9999;Sud-est;;;;;-9999;
43.603174056,1.44819657173;"{""type"": ""Point"", ""coordinates"": [1.448196571731324, 43.60317405604311]}";RUE PAUL VIDAL;VIDAL (RUE PAUL VIDAL);16;TOULOUSE;31555;315557222404_16;2;2014;2014-06-17T02:00:00+02:00;-9999;;;;;;-9999;
43.7458941323,1.37561986937;"{""type"": ""Point"", ""coordinates"": [1.375619869367839, 43.74589413229518]}";AV SEGUSINO;SEGUSINO (AV SEGUSINO);;Saint-Jory;31490;314900000109;1;0;;-9999;;;;;;-9999;Relevé terrain
43.5868925871,1.49236522884;"{""type"": ""Point"", ""coordinates"": [1.492365228842462, 43.58689258713779]}";CITE DE L'ESPACE;;8;TOULOUSE;31555;;3;0;;-9999;Est;;;;;-9999;Cite de l'Espace
43.6010806255,1.45181589014;"{""type"": ""Point"", ""coordinates"": [1.451815890143285, 43.60108062546264]}";BD LAZARE CARNOT;CARNOT (BD LAZARE CARNOT);9;TOULOUSE;31555;315551448023_9;8;2014;2014-06-17T02:00:00+02:00;-9999;Centre-nord;;;;;-9999;Manque arrete
