Geo Point;Geo Shape;NOM;LIGNE;Etat;Type;EN_SERVICE;COUVERT;COMMUNE
43.5660719789,1.39805546614;"{""type"": ""Point"", ""coordinates"": [1.398055466136231, 43.56607197894186]}";BELLEFONTAINE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5746729693,1.40200171315;"{""type"": ""Point"", ""coordinates"": [1.402001713151779, 43.57467296933235]}";MIRAIL - UNIVERSITE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.6107707758,1.45512121976;"{""type"": ""Point"", ""coordinates"": [1.455121219764635, 43.61077077583038]}";MARENGO - SNCF;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.6152556942,1.46334204052;"{""type"": ""Point"", ""coordinates"": [1.463342040523729, 43.6152556941746]}";JOLIMONT;A;Existant;Metro;1993;Aérien;TOULOUSE
43.5681164086,1.4645005419;"{""type"": ""Point"", ""coordinates"": [1.464500541896307, 43.568116408550864]}";FACULTE DE PHARMACIE;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5797294461,1.45903160413;"{""type"": ""Point"", ""coordinates"": [1.459031604125406, 43.579729446148185]}";SAOUZELONG;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6089939963,1.44521372372;"{""type"": ""Point"", ""coordinates"": [1.445213723716883, 43.608993996282614]}";JEANNE D'ARC;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6203379173,1.43586470253;"{""type"": ""Point"", ""coordinates"": [1.435864702528294, 43.620337917252634]}";MINIMES - CLAUDE NOUGARO;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6267449251,1.43396182427;"{""type"": ""Point"", ""coordinates"": [1.433961824272039, 43.626744925100596]}";BARRIERE DE PARIS;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6379945515,1.44461246346;"{""type"": ""Point"", ""coordinates"": [1.444612463455859, 43.63799455153404]}";TROIS COCUS;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5955830533,1.40145218955;"{""type"": ""Point"", ""coordinates"": [1.401452189552739, 43.59558305330029]}";TOEC;C;Existant;Train;1993;Aérien;TOULOUSE
43.5979696507,1.43157689185;"{""type"": ""Point"", ""coordinates"": [1.431576891850677, 43.597969650677925]}";SAINT-CYPRIEN REPUBLIQUE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5748425601,1.46170082922;"{""type"": ""Point"", ""coordinates"": [1.461700829215701, 43.574842560110426]}";RANGUEIL;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5803860058,1.44999270515;"{""type"": ""Point"", ""coordinates"": [1.44999270515236, 43.58038600582404]}";SAINT-AGNE - SNCF;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.5965947675,1.38404977084;"{""type"": ""Point"", ""coordinates"": [1.38404977084177, 43.596594767517125]}";LARDENNE;C;Existant;Train;1993;Aérien;TOULOUSE
43.5997765425,1.37182302452;"{""type"": ""Point"", ""coordinates"": [1.371823024521742, 43.59977654253941]}";SAINT MARTIN DU TOUCH;C;Existant;Train;1993;Aérien;TOULOUSE
43.5800005461,1.41231776102;"{""type"": ""Point"", ""coordinates"": [1.412317761019293, 43.58000054613266]}";BAGATELLE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5874941629,1.41839393155;"{""type"": ""Point"", ""coordinates"": [1.418393931549042, 43.587494162853496]}";FONTAINE LESTANG;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.5964204606,1.42311120485;"{""type"": ""Point"", ""coordinates"": [1.423111204850494, 43.596420460569135]}";PATTE D'OIE;A;Existant;Metro;1993;Souterrain;TOULOUSE
43.6199804192,1.46962285038;"{""type"": ""Point"", ""coordinates"": [1.469622850377418, 43.619980419197226]}";ROSERAIE;A;Existant;Metro;2003;Souterrain;TOULOUSE
43.5557676481,1.47637204562;"{""type"": ""Point"", ""coordinates"": [1.476372045617323, 43.55576764809444]}";RAMONVILLE;B;Existant;Metro;2007;Souterrain;RAMONVILLE SAINT-AGNE
43.5923235038,1.44464878568;"{""type"": ""Point"", ""coordinates"": [1.444648785676152, 43.59232350378401]}";PALAIS DE JUSTICE;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6058027056,1.44863391136;"{""type"": ""Point"", ""coordinates"": [1.448633911364883, 43.605802705633025]}";JEAN JAURES;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6153898814,1.43434759192;"{""type"": ""Point"", ""coordinates"": [1.434347591916873, 43.61538988139788]}";CANAL DU MIDI;B;Existant;Metro;2007;Souterrain;TOULOUSE
43.6406487947,1.45260006715;"{""type"": ""Point"", ""coordinates"": [1.452600067146659, 43.6406487946803]}";BORDEROUGE;B;Existant;Metro;2007;Souterrain;TOULOUSE
