Geo Point;Geo Shape;Street;MotDir;Id_Seg_Ges;Id_Seg_Obs;commune;code_insee;codsti;Nrivoli;Longueur;Type;arrete;date_mes;Annee;pole;SensUnique;DoubleSens_Cyclable;commentaire
43.6004579673,1.45096009969;"{""type"": ""LineString"", ""coordinates"": [[1.450946567694574, 43.60040082432007], [1.450943179841492, 43.600453784738164], [1.450998422965949, 43.60050525330336]]}";RUE SAINTE ANNE;ANNE (RUE SAINTE ANNE);4761;4761;TOULOUSE;31555;315556124812;3105558004;13;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;;;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6322691849,1.46135571547;"{""type"": ""LineString"", ""coordinates"": [[1.462540531056298, 43.63160518305559], [1.460259165830891, 43.63288380863773], [1.460169905443119, 43.632931367239415]]}";RUE DE LA JALOUSIE;JALOUSIE (RUE DE LA JALOUSIE);689;689;TOULOUSE;31555;315553590440;3105554440;241;Zone de Rencontre;19/004;2019-01-10T01:00:00+01:00;2019;Nord;oui;non;
43.6083177055,1.43039647998;"{""type"": ""LineString"", ""coordinates"": [[1.43073633098897, 43.60801623956538], [1.430056628977586, 43.60861917141619]]}";RUE BERGEAUD;BERGEAUD (RUE BERGEAUD);5251;5251;TOULOUSE;31555;315550790439;3105551056;87;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;;;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6010566063,1.45042599957;"{""type"": ""LineString"", ""coordinates"": [[1.45009467143777, 43.60104604459247], [1.45027968518625, 43.60103612904876], [1.450756703661611, 43.60108906573402]]}";RUE DES CHEMINEES;CHEMINEES (RUE DES CHEMINEES);4742;4742;TOULOUSE;31555;315551715213;3105552004;54;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.601657317,1.45132116341;"{""type"": ""LineString"", ""coordinates"": [[1.450750172705937, 43.60161973843881], [1.451892154120323, 43.60169489548325]]}";RUE DELPECH;DELPECH (RUE DELPECH);4764;4764;TOULOUSE;31555;315552220812;3105552572;92;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6080874236,1.44567845123;"{""type"": ""LineString"", ""coordinates"": [[1.445685785515621, 43.60790109292655], [1.445671116938949, 43.608273754326426]]}";RUE D ALSACE LORRAINE;LORRAINE (RUE D ALSACE LORRAINE);3318;3318;TOULOUSE;31555;315550118429;3105550224;41;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6063738196,1.43306606944;"{""type"": ""LineString"", ""coordinates"": [[1.432832867106117, 43.605850273906086], [1.433232724416837, 43.606702141402884], [1.43319442282944, 43.606910936192264]]}";RUE LANCEFOC;LANCEFOC (RUE LANCEFOC);3098;3098;TOULOUSE;31555;315553833634;3105554988;123;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6088325772,1.43700782495;"{""type"": ""LineString"", ""coordinates"": [[1.437207827077359, 43.60860801249859], [1.436807822831095, 43.60905714181944]]}";PL SAINT JULIEN;JULIEN (PL SAINT JULIEN);5379;5379;TOULOUSE;31555;315556275246;3105557864;59;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;;;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6076399748,1.42916841077;"{""type"": ""LineString"", ""coordinates"": [[1.429946428323146, 43.60687172901228], [1.429904191316627, 43.607082323889976], [1.428274499635279, 43.608336128242286]]}";RUE DU BEARNAIS;BEARNAIS (RUE DU BEARNAIS);3046;3046;TOULOUSE;31555;315550672010;3105550948;215;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;oui;oui;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
43.6075523689,1.43212616592;"{""type"": ""LineString"", ""coordinates"": [[1.432057196160011, 43.60737681014832], [1.432195135684579, 43.60772792763579]]}";IMP FRANCISQUE SARCEY;SARCEY (IMP FRANCISQUE SARCEY);3093;3093;TOULOUSE;31555;315556496056;3105553468;41;Zone de Rencontre;20/033;2020-08-01T02:00:00+02:00;2020;Centre;;;Arrêté temporaire du 16/05 au 01/08 date arrêté definitif
